Basketball,Football
Dataset\train\basketball\basketball_194.jpg,Dataset\train\football\football_1160.jpg
Dataset\train\basketball\basketball_195.jpg,Dataset\train\football\football_1167.jpg
Dataset\train\basketball\basketball_196.jpg,Dataset\train\football\football_1168.jpg
Dataset\train\basketball\basketball_197.jpg,Dataset\train\football\football_1171.jpg
Dataset\train\basketball\basketball_199.jpg,Dataset\train\football\football_1173.jpg
Dataset\train\basketball\basketball_2(1).jpg,Dataset\train\football\football_1175.jpg
Dataset\train\basketball\basketball_2.jpg,Dataset\train\football\football_1176.jpg
Dataset\train\basketball\basketball_20(1).jpg,Dataset\train\football\football_118.jpg
Dataset\train\basketball\basketball_20.jpg,Dataset\train\football\football_1185.jpg
Dataset\train\basketball\basketball_200.jpg,Dataset\train\football\football_119.jpg
Dataset\train\basketball\basketball_201.jpg,Dataset\train\football\football_1194.jpg
Dataset\train\basketball\basketball_203.jpg,Dataset\train\football\football_1197.jpg
Dataset\train\basketball\basketball_205.jpg,Dataset\train\football\football_1201.jpg
Dataset\train\basketball\basketball_206.jpg,Dataset\train\football\football_1204.jpg
Dataset\train\basketball\basketball_21 (2).jpg,Dataset\train\football\football_1207.jpg
Dataset\train\basketball\basketball_21(1).jpg,Dataset\train\football\football_121.jpg
Dataset\train\basketball\basketball_21.jpg,Dataset\train\football\football_1210.jpg
Dataset\train\basketball\basketball_210.jpg,Dataset\train\football\football_1212.jpg
Dataset\train\basketball\basketball_211.jpg,Dataset\train\football\football_1213.jpg
Dataset\train\basketball\basketball_213.jpg,Dataset\train\football\football_1216.jpg
Dataset\train\basketball\basketball_214.jpg,Dataset\train\football\football_122.jpg
Dataset\train\basketball\basketball_215.jpg,Dataset\train\football\football_1221.jpg
Dataset\train\basketball\basketball_216.jpg,Dataset\train\football\football_1223.jpg
Dataset\train\basketball\basketball_22 (2).jpg,Dataset\train\football\football_1224.jpg
Dataset\train\basketball\basketball_22(1).jpg,Dataset\train\football\football_1227.jpg
Dataset\train\basketball\basketball_22.jpg,Dataset\train\football\football_1228.jpg
Dataset\train\basketball\basketball_220.jpg,Dataset\train\football\football_123.jpg
Dataset\train\basketball\basketball_221.jpg,Dataset\train\football\football_1230.jpg
Dataset\train\basketball\basketball_222.jpg,Dataset\train\football\football_1231.jpg
Dataset\train\basketball\basketball_225.jpg,Dataset\train\football\football_1232.jpg
Dataset\train\basketball\basketball_226.jpg,Dataset\train\football\football_1233.jpg
Dataset\train\basketball\basketball_23 (2).jpg,Dataset\train\football\football_1234.jpg
Dataset\train\basketball\basketball_23.jpg,Dataset\train\football\football_1236.jpg
Dataset\train\basketball\basketball_231.jpg,Dataset\train\football\football_1238.jpg
Dataset\train\basketball\basketball_232.jpg,Dataset\train\football\football_124.jpg
Dataset\train\basketball\basketball_233.jpg,Dataset\train\football\football_1240.jpg
Dataset\train\basketball\basketball_237.jpg,Dataset\train\football\football_1241.jpg
Dataset\train\basketball\basketball_238.jpg,Dataset\train\football\football_1242.jpg
Dataset\train\basketball\basketball_24(1).jpg,Dataset\train\football\football_1243.jpg
Dataset\train\basketball\basketball_24.jpg,Dataset\train\football\football_1246.jpg
Dataset\train\basketball\basketball_242.jpg,Dataset\train\football\football_1249.jpg
Dataset\train\basketball\basketball_245.jpg,Dataset\train\football\football_125.jpg
Dataset\train\basketball\basketball_246.jpg,Dataset\train\football\football_1251.jpg
Dataset\train\basketball\basketball_248.jpg,Dataset\train\football\football_1253.jpg
Dataset\train\basketball\basketball_249.jpg,Dataset\train\football\football_1258.jpg
Dataset\train\basketball\basketball_25 (2).jpg,Dataset\train\football\football_126.jpg
Dataset\train\basketball\basketball_25(1).jpg,Dataset\train\football\football_1267.jpg
Dataset\train\basketball\basketball_25.jpg,Dataset\train\football\football_1268.jpg
Dataset\train\basketball\basketball_251.jpg,Dataset\train\football\football_127.jpg
Dataset\train\basketball\basketball_252.jpg,Dataset\train\football\football_1270.jpg
Dataset\train\basketball\basketball_257.jpg,Dataset\train\football\football_1271.jpg
Dataset\train\basketball\basketball_26 (2).jpg,Dataset\train\football\football_1272.jpg
Dataset\train\basketball\basketball_26(1).jpg,Dataset\train\football\football_1275.jpg
Dataset\train\basketball\basketball_26.jpg,Dataset\train\football\football_1276.jpg
Dataset\train\basketball\basketball_263.jpg,Dataset\train\football\football_1277.jpg
Dataset\train\basketball\basketball_264.jpg,Dataset\train\football\football_128.jpg
Dataset\train\basketball\basketball_268.jpg,Dataset\train\football\football_1280.jpg
Dataset\train\basketball\basketball_27 (2).jpg,Dataset\train\football\football_1281.jpg
Dataset\train\basketball\basketball_27.jpg,Dataset\train\football\football_1282.jpg
Dataset\train\basketball\basketball_270.jpg,Dataset\train\football\football_1283.jpg
Dataset\train\basketball\basketball_273.jpg,Dataset\train\football\football_1284.jpg
Dataset\train\basketball\basketball_277.jpg,Dataset\train\football\football_1287.jpg
Dataset\train\basketball\basketball_278.jpg,Dataset\train\football\football_1289.jpg
Dataset\train\basketball\basketball_279.jpg,Dataset\train\football\football_1292.jpg
Dataset\train\basketball\basketball_28 (2).jpg,Dataset\train\football\football_1293.jpg
Dataset\train\basketball\basketball_28(1).jpg,Dataset\train\football\football_1294.jpg
Dataset\train\basketball\basketball_28.jpg,Dataset\train\football\football_1295.jpg
Dataset\train\basketball\basketball_280.jpg,Dataset\train\football\football_1298.jpg
Dataset\train\basketball\basketball_282.jpg,Dataset\train\football\football_13.jpg
Dataset\train\basketball\basketball_283.jpg,Dataset\train\football\football_1303.jpg
Dataset\train\basketball\basketball_284.jpg,Dataset\train\football\football_1305.jpg
Dataset\train\basketball\basketball_285.jpg,Dataset\train\football\football_1306.jpg
Dataset\train\basketball\basketball_287.jpg,Dataset\train\football\football_1308.jpg
Dataset\train\basketball\basketball_288.jpg,Dataset\train\football\football_1309.jpg
Dataset\train\basketball\basketball_29 (2).jpg,Dataset\train\football\football_1314.jpg
Dataset\train\basketball\basketball_29(1).jpg,Dataset\train\football\football_1319.jpg
Dataset\train\basketball\basketball_29.jpg,Dataset\train\football\football_132.jpg
Dataset\train\basketball\basketball_290.jpg,Dataset\train\football\football_1320.jpg
Dataset\train\basketball\basketball_293.jpg,Dataset\train\football\football_1322.jpg
Dataset\train\basketball\basketball_295.jpg,Dataset\train\football\football_1324.jpg
Dataset\train\basketball\basketball_3(1).jpg,Dataset\train\football\football_133.jpg
Dataset\train\basketball\basketball_3.jpg,Dataset\train\football\football_1331.jpg
Dataset\train\basketball\basketball_30 (2).jpg,Dataset\train\football\football_1334.jpg
Dataset\train\basketball\basketball_30.jpg,Dataset\train\football\football_1335.jpg
Dataset\train\basketball\basketball_300.jpg,Dataset\train\football\football_134.jpg
Dataset\train\basketball\basketball_302.jpg,Dataset\train\football\football_137.jpg
Dataset\train\basketball\basketball_303.jpg,Dataset\train\football\football_14.jpg
Dataset\train\basketball\basketball_304.jpg,Dataset\train\football\football_143.jpg
Dataset\train\basketball\basketball_307.jpg,Dataset\train\football\football_144.jpg
Dataset\train\basketball\basketball_308.jpg,Dataset\train\football\football_148.jpg
Dataset\train\basketball\basketball_309.jpg,Dataset\train\football\football_149.jpg
Dataset\train\basketball\basketball_31(1).jpg,Dataset\train\football\football_150.jpg
Dataset\train\basketball\basketball_31.jpg,Dataset\train\football\football_151.jpg
Dataset\train\basketball\basketball_311.jpg,Dataset\train\football\football_154.jpg
Dataset\train\basketball\basketball_315.jpg,Dataset\train\football\football_155.jpg
Dataset\train\basketball\basketball_316.jpg,Dataset\train\football\football_157.jpg
Dataset\train\basketball\basketball_318.jpg,Dataset\train\football\football_158.jpg
Dataset\train\basketball\basketball_32(1).jpg,Dataset\train\football\football_163.jpg
Dataset\train\basketball\basketball_32.jpg,Dataset\train\football\football_164.jpg
Dataset\train\basketball\basketball_320.jpg,Dataset\train\football\football_165.jpg
Dataset\train\basketball\basketball_321.jpg,Dataset\train\football\football_168.jpg
Dataset\train\basketball\basketball_323.jpg,Dataset\train\football\football_174.jpg
Dataset\train\basketball\basketball_325.jpg,Dataset\train\football\football_176.jpg
Dataset\train\basketball\basketball_329.jpg,Dataset\train\football\football_18.jpg
Dataset\train\basketball\basketball_33(1).jpg,Dataset\train\football\football_180.jpg
Dataset\train\basketball\basketball_33.jpg,Dataset\train\football\football_181.jpg
Dataset\train\basketball\basketball_331.jpg,Dataset\train\football\football_182.jpg
Dataset\train\basketball\basketball_332.jpg,Dataset\train\football\football_183.jpg
Dataset\train\basketball\basketball_334.jpg,Dataset\train\football\football_185.jpg
Dataset\train\basketball\basketball_335.jpg,Dataset\train\football\football_187.jpg
Dataset\train\basketball\basketball_339.jpg,Dataset\train\football\football_188.jpg
Dataset\train\basketball\basketball_34(1).jpg,Dataset\train\football\football_191.jpg
Dataset\train\basketball\basketball_34.jpg,Dataset\train\football\football_192.jpg
Dataset\train\basketball\basketball_342.jpg,Dataset\train\football\football_197.jpg
Dataset\train\basketball\basketball_343.jpg,Dataset\train\football\football_198.jpg
Dataset\train\basketball\basketball_344.jpg,Dataset\train\football\football_2.jpg
Dataset\train\basketball\basketball_346.jpg,Dataset\train\football\football_20.jpg
Dataset\train\basketball\basketball_348.jpg,Dataset\train\football\football_200.jpg
Dataset\train\basketball\basketball_349.jpg,Dataset\train\football\football_201.jpg
Dataset\train\basketball\basketball_35 (2).jpg,Dataset\train\football\football_205.jpg
Dataset\train\basketball\basketball_35(1).jpg,Dataset\train\football\football_207.jpg
Dataset\train\basketball\basketball_35.jpg,Dataset\train\football\football_210.jpg
Dataset\train\basketball\basketball_351.jpg,Dataset\train\football\football_212.jpg
Dataset\train\basketball\basketball_352.jpg,Dataset\train\football\football_213.jpg
Dataset\train\basketball\basketball_353.jpg,Dataset\train\football\football_214.jpg
Dataset\train\basketball\basketball_355.jpg,Dataset\train\football\football_219.jpg
Dataset\train\basketball\basketball_356.jpg,Dataset\train\football\football_22.jpg
Dataset\train\basketball\basketball_36 (2).jpg,Dataset\train\football\football_220.jpg
Dataset\train\basketball\basketball_36.jpg,Dataset\train\football\football_224.jpg
Dataset\train\basketball\basketball_360.jpg,Dataset\train\football\football_226.jpg
Dataset\train\basketball\basketball_362.jpg,Dataset\train\football\football_229.jpg
Dataset\train\basketball\basketball_363.jpg,Dataset\train\football\football_23.jpg
Dataset\train\basketball\basketball_365.jpg,Dataset\train\football\football_231.jpg
Dataset\train\basketball\basketball_366.jpg,Dataset\train\football\football_233.jpg
Dataset\train\basketball\basketball_367.jpg,Dataset\train\football\football_234.jpg
Dataset\train\basketball\basketball_368.jpg,Dataset\train\football\football_238.jpg
Dataset\train\basketball\basketball_369.jpg,Dataset\train\football\football_239.jpg
Dataset\train\basketball\basketball_37 (2).jpg,Dataset\train\football\football_242.jpg
Dataset\train\basketball\basketball_37(1).jpg,Dataset\train\football\football_245.jpg
Dataset\train\basketball\basketball_37.jpg,Dataset\train\football\football_247.jpg
Dataset\train\basketball\basketball_371.jpg,Dataset\train\football\football_249.jpg
Dataset\train\basketball\basketball_374.jpg,Dataset\train\football\football_25.jpg
Dataset\train\basketball\basketball_377.jpg,Dataset\train\football\football_251.jpg
Dataset\train\basketball\basketball_379.jpg,Dataset\train\football\football_252.jpg
Dataset\train\basketball\basketball_38 (2).jpg,Dataset\train\football\football_255.jpg
Dataset\train\basketball\basketball_38(1).jpg,Dataset\train\football\football_257.jpg
Dataset\train\basketball\basketball_38.jpg,Dataset\train\football\football_259.jpg
Dataset\train\basketball\basketball_383.jpg,Dataset\train\football\football_26.jpg
Dataset\train\basketball\basketball_384.jpg,Dataset\train\football\football_261.jpg
Dataset\train\basketball\basketball_385.jpg,Dataset\train\football\football_264.jpg
Dataset\train\basketball\basketball_388.jpg,Dataset\train\football\football_265.jpg
Dataset\train\basketball\basketball_39(1).jpg,Dataset\train\football\football_267.jpg
Dataset\train\basketball\basketball_39.jpg,Dataset\train\football\football_269.jpg
Dataset\train\basketball\basketball_390.jpg,Dataset\train\football\football_270.jpg
Dataset\train\basketball\basketball_394.jpg,Dataset\train\football\football_271.jpg
Dataset\train\basketball\basketball_396.jpg,Dataset\train\football\football_272.jpg
Dataset\train\basketball\basketball_4 (2).jpg,Dataset\train\football\football_278.jpg
Dataset\train\basketball\basketball_4.jpg,Dataset\train\football\football_279.jpg
Dataset\train\basketball\basketball_40(1).jpg,Dataset\train\football\football_280.jpg
Dataset\train\basketball\basketball_40.jpg,Dataset\train\football\football_283.jpg
Dataset\train\basketball\basketball_402.jpg,Dataset\train\football\football_286.jpg
Dataset\train\basketball\basketball_403.jpg,Dataset\train\football\football_287.jpg
Dataset\train\basketball\basketball_406.jpg,Dataset\train\football\football_290.jpg
Dataset\train\basketball\basketball_407.jpg,Dataset\train\football\football_291.jpg
Dataset\train\basketball\basketball_409.jpg,Dataset\train\football\football_294.jpg
Dataset\train\basketball\basketball_41(1).jpg,Dataset\train\football\football_298.jpg
Dataset\train\basketball\basketball_41.jpg,Dataset\train\football\football_299.jpg
Dataset\train\basketball\basketball_411.jpg,Dataset\train\football\football_3.jpg
Dataset\train\basketball\basketball_412.jpg,Dataset\train\football\football_30.jpg
Dataset\train\basketball\basketball_416.jpg,Dataset\train\football\football_300.jpg
Dataset\train\basketball\basketball_418.jpg,Dataset\train\football\football_301.jpg
Dataset\train\basketball\basketball_419.jpg,Dataset\train\football\football_303.jpg
Dataset\train\basketball\basketball_42 (2).jpg,Dataset\train\football\football_304.jpg
Dataset\train\basketball\basketball_42(1).jpg,Dataset\train\football\football_306.jpg
Dataset\train\basketball\basketball_42.jpg,Dataset\train\football\football_308.jpg
Dataset\train\basketball\basketball_420.jpg,Dataset\train\football\football_309.jpg
Dataset\train\basketball\basketball_421.jpg,Dataset\train\football\football_31.jpg
Dataset\train\basketball\basketball_422.jpg,Dataset\train\football\football_319.jpg
Dataset\train\basketball\basketball_427.jpg,Dataset\train\football\football_321.jpg
Dataset\train\basketball\basketball_428.jpg,Dataset\train\football\football_323.jpg
Dataset\train\basketball\basketball_43 (2).jpg,Dataset\train\football\football_33.jpg
Dataset\train\basketball\basketball_43(1).jpg,Dataset\train\football\football_332.jpg
Dataset\train\basketball\basketball_43.jpg,Dataset\train\football\football_333.jpg
Dataset\train\basketball\basketball_430.jpg,Dataset\train\football\football_334.jpg
Dataset\train\basketball\basketball_432.jpg,Dataset\train\football\football_335.jpg
Dataset\train\basketball\basketball_435.jpg,Dataset\train\football\football_336.jpg
Dataset\train\basketball\basketball_436.jpg,Dataset\train\football\football_338.jpg
Dataset\train\basketball\basketball_437.jpg,Dataset\train\football\football_340.jpg
Dataset\train\basketball\basketball_438.jpg,Dataset\train\football\football_342.jpg
Dataset\train\basketball\basketball_44 (2).jpg,Dataset\train\football\football_347.jpg
Dataset\train\basketball\basketball_44.jpg,Dataset\train\football\football_350.jpg
Dataset\train\basketball\basketball_443.jpg,Dataset\train\football\football_351.jpg
Dataset\train\basketball\basketball_447.jpg,Dataset\train\football\football_353.jpg
Dataset\train\basketball\basketball_449.jpg,Dataset\train\football\football_355.jpg
Dataset\train\basketball\basketball_45 (2).jpg,Dataset\train\football\football_358.jpg
Dataset\train\basketball\basketball_45(1).jpg,Dataset\train\football\football_36.jpg
Dataset\train\basketball\basketball_45.jpg,Dataset\train\football\football_360.jpg
Dataset\train\basketball\basketball_451.jpg,Dataset\train\football\football_361.jpg
Dataset\train\basketball\basketball_454.jpg,Dataset\train\football\football_368.jpg
Dataset\train\basketball\basketball_455.jpg,Dataset\train\football\football_370.jpg
Dataset\train\basketball\basketball_456.jpg,Dataset\train\football\football_375.jpg
Dataset\train\basketball\basketball_459.jpg,Dataset\train\football\football_378.jpg
Dataset\train\basketball\basketball_46 (2).jpg,Dataset\train\football\football_38.jpg
Dataset\train\basketball\basketball_46(1).jpg,Dataset\train\football\football_381.jpg
Dataset\train\basketball\basketball_46.jpg,Dataset\train\football\football_382.jpg
Dataset\train\basketball\basketball_461.jpg,Dataset\train\football\football_384.jpg
Dataset\train\basketball\basketball_462.jpg,Dataset\train\football\football_389.jpg
Dataset\train\basketball\basketball_463.jpg,Dataset\train\football\football_39.jpg
Dataset\train\basketball\basketball_465.jpg,Dataset\train\football\football_391.jpg
Dataset\train\basketball\basketball_467.jpg,Dataset\train\football\football_392.jpg
Dataset\train\basketball\basketball_47 (2).jpg,Dataset\train\football\football_394.jpg
Dataset\train\basketball\basketball_47(1).jpg,Dataset\train\football\football_398.jpg
Dataset\train\basketball\basketball_47.jpg,Dataset\train\football\football_40.jpg
Dataset\train\basketball\basketball_470.jpg,Dataset\train\football\football_402.jpg
Dataset\train\basketball\basketball_472.jpg,Dataset\train\football\football_403.jpg
Dataset\train\basketball\basketball_473.jpg,Dataset\train\football\football_404.jpg
Dataset\train\basketball\basketball_474.jpg,Dataset\train\football\football_407.jpg
Dataset\train\basketball\basketball_477.jpg,Dataset\train\football\football_408.jpg
Dataset\train\basketball\basketball_479.jpg,Dataset\train\football\football_411.jpg
Dataset\train\basketball\basketball_48(1).jpg,Dataset\train\football\football_413.jpg
Dataset\train\basketball\basketball_48.jpg,Dataset\train\football\football_415.jpg
Dataset\train\basketball\basketball_480.jpg,Dataset\train\football\football_416.jpg
Dataset\train\basketball\basketball_482.jpg,Dataset\train\football\football_417.jpg
Dataset\train\basketball\basketball_489.jpg,Dataset\train\football\football_418.jpg
Dataset\train\basketball\basketball_49 (2).jpg,Dataset\train\football\football_419.jpg
Dataset\train\basketball\basketball_49.jpg,Dataset\train\football\football_42.jpg
Dataset\train\basketball\basketball_491.jpg,Dataset\train\football\football_420.jpg
Dataset\train\basketball\basketball_492.jpg,Dataset\train\football\football_423.jpg
Dataset\train\basketball\basketball_493.jpg,Dataset\train\football\football_425.jpg
Dataset\train\basketball\basketball_5.jpg,Dataset\train\football\football_427.jpg
Dataset\train\basketball\basketball_50 (2).jpg,Dataset\train\football\football_429.jpg
Dataset\train\basketball\basketball_50(1).jpg,Dataset\train\football\football_433.jpg
Dataset\train\basketball\basketball_50.jpg,Dataset\train\football\football_434.jpg
Dataset\train\basketball\basketball_505.jpg,Dataset\train\football\football_435.jpg
Dataset\train\basketball\basketball_508.jpg,Dataset\train\football\football_437.jpg
Dataset\train\basketball\basketball_51(1).jpg,Dataset\train\football\football_438.jpg
Dataset\train\basketball\basketball_51.jpg,Dataset\train\football\football_439.jpg
Dataset\train\basketball\basketball_514.jpg,Dataset\train\football\football_44.jpg
Dataset\train\basketball\basketball_516.jpg,Dataset\train\football\football_443.jpg
Dataset\train\basketball\basketball_517.jpg,Dataset\train\football\football_448.jpg
Dataset\train\basketball\basketball_518.jpg,Dataset\train\football\football_452.jpg
Dataset\train\basketball\basketball_519.jpg,Dataset\train\football\football_453.jpg
Dataset\train\basketball\basketball_52(1).jpg,Dataset\train\football\football_456.jpg
Dataset\train\basketball\basketball_52.jpg,Dataset\train\football\football_457.jpg
Dataset\train\basketball\basketball_522.jpg,Dataset\train\football\football_459.jpg
Dataset\train\basketball\basketball_523.jpg,Dataset\train\football\football_463.jpg
Dataset\train\basketball\basketball_524.jpg,Dataset\train\football\football_471.jpg
Dataset\train\basketball\basketball_525.jpg,Dataset\train\football\football_472.jpg
Dataset\train\basketball\basketball_526.jpg,Dataset\train\football\football_473.jpg
Dataset\train\basketball\basketball_527.jpg,Dataset\train\football\football_474.jpg
Dataset\train\basketball\basketball_528.jpg,Dataset\train\football\football_475.jpg
Dataset\train\basketball\basketball_529.jpg,Dataset\train\football\football_476.jpg
Dataset\train\basketball\basketball_53(1).jpg,Dataset\train\football\football_478.jpg
Dataset\train\basketball\basketball_53.jpg,Dataset\train\football\football_48.jpg
Dataset\train\basketball\basketball_531.jpg,Dataset\train\football\football_481.jpg
Dataset\train\basketball\basketball_532.jpg,Dataset\train\football\football_482.jpg
Dataset\train\basketball\basketball_534.jpg,Dataset\train\football\football_487.jpg
Dataset\train\basketball\basketball_535.jpg,Dataset\train\football\football_488.jpg
Dataset\train\basketball\basketball_54 (2).jpg,Dataset\train\football\football_489.jpg
Dataset\train\basketball\basketball_54(1).jpg,Dataset\train\football\football_49.jpg
Dataset\train\basketball\basketball_54.jpg,Dataset\train\football\football_491.jpg
Dataset\train\basketball\basketball_540.jpg,Dataset\train\football\football_493.jpg
Dataset\train\basketball\basketball_542.jpg,Dataset\train\football\football_494.jpg
Dataset\train\basketball\basketball_544.jpg,Dataset\train\football\football_495.jpg
Dataset\train\basketball\basketball_545.jpg,Dataset\train\football\football_497.jpg
Dataset\train\basketball\basketball_546.jpg,Dataset\train\football\football_498.jpg
Dataset\train\basketball\basketball_549.jpg,Dataset\train\football\football_5.jpg
Dataset\train\basketball\basketball_55 (2).jpg,Dataset\train\football\football_50.jpg
Dataset\train\basketball\basketball_55(1).jpg,Dataset\train\football\football_501.jpg
Dataset\train\basketball\basketball_55.jpg,Dataset\train\football\football_504.jpg
Dataset\train\basketball\basketball_554.jpg,Dataset\train\football\football_505.jpg
Dataset\train\basketball\basketball_555.jpg,Dataset\train\football\football_506.jpg
Dataset\train\basketball\basketball_556.jpg,Dataset\train\football\football_507.jpg
Dataset\train\basketball\basketball_56(1).jpg,Dataset\train\football\football_508.jpg
Dataset\train\basketball\basketball_56.jpg,Dataset\train\football\football_513.jpg
Dataset\train\basketball\basketball_560.jpg,Dataset\train\football\football_520.jpg
Dataset\train\basketball\basketball_564.jpg,Dataset\train\football\football_521.jpg
Dataset\train\basketball\basketball_565.jpg,Dataset\train\football\football_522.jpg
Dataset\train\basketball\basketball_568.jpg,Dataset\train\football\football_524.jpg
